club,clubLabel,venue,venueLabel,coordinates,continentLabel,country,countryLabel,capacity
http://www.wikidata.org/entity/Q375978,Alta IF,http://www.wikidata.org/entity/Q2470165,Finnmarkshallen,Point(23.2955 69.9746),Europe,http://www.wikidata.org/entity/Q20,Norway,1000.0
http://www.wikidata.org/entity/Q612485,Anundsjö IF,http://www.wikidata.org/entity/Q2021404,Q2021404,Point(18.10638889 63.44472222),Europe,http://www.wikidata.org/entity/Q34,Sweden,1000.0
http://www.wikidata.org/entity/Q1082290,F.C. Matera,http://www.wikidata.org/entity/Q3967905,Stadio XXI Settembre-Franco Salerno,Point(16.6036 40.6736),Europe,http://www.wikidata.org/entity/Q38,Italy,879.0
http://www.wikidata.org/entity/Q943692,Ideal SC,http://www.wikidata.org/entity/Q881312,Blakes Estate Stadium,Point(-62.18632222 16.78386389),Europe,http://www.wikidata.org/entity/Q145,United Kingdom,1000.0
http://www.wikidata.org/entity/Q2101267,Royal Montserrat Police Force FC,http://www.wikidata.org/entity/Q881312,Blakes Estate Stadium,Point(-62.18632222 16.78386389),Europe,http://www.wikidata.org/entity/Q145,United Kingdom,1000.0
http://www.wikidata.org/entity/Q22001168,FC Saint John's,http://www.wikidata.org/entity/Q881312,Blakes Estate Stadium,Point(-62.18632222 16.78386389),Europe,http://www.wikidata.org/entity/Q145,United Kingdom,1000.0
http://www.wikidata.org/entity/Q24993059,P.C. United FC,http://www.wikidata.org/entity/Q881312,Blakes Estate Stadium,Point(-62.18632222 16.78386389),Europe,http://www.wikidata.org/entity/Q145,United Kingdom,1000.0
http://www.wikidata.org/entity/Q279886,Stjarnan,http://www.wikidata.org/entity/Q3499565,Stjörnuvöllur,Point(-21.928865 64.087423),Europe,http://www.wikidata.org/entity/Q189,Iceland,1000.0
http://www.wikidata.org/entity/Q620846,FC Kuressaare,http://www.wikidata.org/entity/Q3436075,Kuressaare linnastaadion,Point(22.480172 58.242286),Europe,http://www.wikidata.org/entity/Q191,Estonia,1000.0
http://www.wikidata.org/entity/Q7666440,Sörve JK,http://www.wikidata.org/entity/Q3436075,Kuressaare linnastaadion,Point(22.480172 58.242286),Europe,http://www.wikidata.org/entity/Q191,Estonia,1000.0
http://www.wikidata.org/entity/Q935751,SK Blāzma,http://www.wikidata.org/entity/Q7579527,Sporta Aģentūras Stadions,Point(27.3406363 56.509502),Europe,http://www.wikidata.org/entity/Q211,Latvia,978.0
http://www.wikidata.org/entity/Q4153485,Rēzeknes BJSS,http://www.wikidata.org/entity/Q7579527,Sporta Aģentūras Stadions,Point(27.3406363 56.509502),Europe,http://www.wikidata.org/entity/Q211,Latvia,978.0
http://www.wikidata.org/entity/Q4161396,RSK Dižvanagi,http://www.wikidata.org/entity/Q7579527,Sporta Aģentūras Stadions,Point(27.3406363 56.509502),Europe,http://www.wikidata.org/entity/Q211,Latvia,978.0
http://www.wikidata.org/entity/Q221766,FC Santa Coloma,http://www.wikidata.org/entity/Q857795,Estadi Comunal d'Aixovall,Point(1.487667 42.476389),Europe,http://www.wikidata.org/entity/Q228,Andorra,1000.0
http://www.wikidata.org/entity/Q301973,Q301973,http://www.wikidata.org/entity/Q857795,Estadi Comunal d'Aixovall,Point(1.487667 42.476389),Europe,http://www.wikidata.org/entity/Q228,Andorra,1000.0
http://www.wikidata.org/entity/Q611146,FC Encamp,http://www.wikidata.org/entity/Q857795,Estadi Comunal d'Aixovall,Point(1.487667 42.476389),Europe,http://www.wikidata.org/entity/Q228,Andorra,1000.0
http://www.wikidata.org/entity/Q647795,UE Santa Coloma,http://www.wikidata.org/entity/Q857795,Estadi Comunal d'Aixovall,Point(1.487667 42.476389),Europe,http://www.wikidata.org/entity/Q228,Andorra,1000.0
http://www.wikidata.org/entity/Q704873,FC Lusitanos,http://www.wikidata.org/entity/Q857795,Estadi Comunal d'Aixovall,Point(1.487667 42.476389),Europe,http://www.wikidata.org/entity/Q228,Andorra,1000.0
http://www.wikidata.org/entity/Q729512,Inter Club d'Escaldes,http://www.wikidata.org/entity/Q857795,Estadi Comunal d'Aixovall,Point(1.487667 42.476389),Europe,http://www.wikidata.org/entity/Q228,Andorra,1000.0
