Start Date,End Date,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths,latitude,longitude
01/01/2020,04/02/2022,Alabama,Male,All Ages,10273.0,76233.0,7121.0,114.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,Under 1 year,0.0,518.0,0.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,0-17 years,0.0,997.0,11.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,18-29 years,71.0,2014.0,49.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,30-39 years,218.0,2673.0,141.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,40-49 years,548.0,4248.0,334.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,50-64 years,2377.0,16744.0,1486.0,42.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,65-74 years,2826.0,18857.0,2009.0,27.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,75-84 years,2705.0,18459.0,1942.0,18.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Male,85 years and over,1522.0,12241.0,1149.0,12.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,All Ages,8819.0,69608.0,5981.0,82.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,Under 1 year,0.0,376.0,0.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,0-17 years,0.0,608.0,12.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,18-29 years,55.0,776.0,41.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,30-39 years,160.0,1458.0,107.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,40-49 years,453.0,2730.0,242.0,0.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,50-64 years,1819.0,11214.0,1197.0,25.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,65-74 years,2091.0,14071.0,1423.0,17.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,75-84 years,2199.0,17941.0,1594.0,20.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alabama,Female,85 years and over,2036.0,20810.0,1365.0,11.0,32.318231,-86.902298
01/01/2020,04/02/2022,Alaska,Male,All Ages,729.0,6958.0,633.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,Under 1 year,0.0,63.0,0.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,0-17 years,0.0,132.0,0.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,18-29 years,11.0,314.0,0.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,30-39 years,26.0,427.0,30.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,40-49 years,43.0,436.0,38.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,50-64 years,206.0,1660.0,164.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,65-74 years,197.0,1626.0,166.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,75-84 years,161.0,1457.0,151.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Male,85 years and over,83.0,906.0,75.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,All Ages,488.0,5023.0,435.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,Under 1 year,0.0,49.0,0.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,0-17 years,0.0,83.0,0.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,18-29 years,0.0,151.0,0.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,30-39 years,15.0,253.0,12.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,40-49 years,38.0,293.0,32.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,50-64 years,81.0,880.0,70.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,65-74 years,126.0,1086.0,117.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,75-84 years,118.0,1071.0,106.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Alaska,Female,85 years and over,100.0,1206.0,86.0,0.0,63.588753,-154.493062
01/01/2020,04/02/2022,Arizona,Male,All Ages,15946.0,98941.0,14096.0,95.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,Under 1 year,0.0,510.0,0.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,0-17 years,20.0,1111.0,24.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,18-29 years,156.0,3226.0,123.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,30-39 years,434.0,4107.0,320.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,40-49 years,896.0,5202.0,686.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,50-64 years,3462.0,18246.0,2895.0,24.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,65-74 years,3984.0,22072.0,3585.0,24.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,75-84 years,4339.0,25061.0,3948.0,15.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Male,85 years and over,2655.0,19916.0,2515.0,16.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,All Ages,11056.0,79877.0,9921.0,89.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,Under 1 year,0.0,417.0,0.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,0-17 years,13.0,769.0,28.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,18-29 years,100.0,1096.0,77.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,30-39 years,267.0,1826.0,214.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,40-49 years,511.0,2765.0,424.0,0.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,50-64 years,2054.0,11163.0,1854.0,22.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,65-74 years,2653.0,15380.0,2430.0,21.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,75-84 years,2894.0,20810.0,2638.0,22.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arizona,Female,85 years and over,2564.0,26068.0,2256.0,12.0,34.048928,-111.093731
01/01/2020,04/02/2022,Arkansas,Male,All Ages,5920.0,46057.0,5482.0,62.0,35.20105,-91.831833
01/01/2020,04/02/2022,Arkansas,Male,Under 1 year,0.0,328.0,0.0,0.0,35.20105,-91.831833
